aid,1,2,3,4,5
a1985_008,a1988_007,a1985_014,a1989_003,a1967_007,a1989_004
a1985_009,a1985_007,a1985_004,a1998_016,a1980_002,a1967_008
a1985_010,a1984_013,a1993_002,a1985_005,a1967_002,a1985_011
a1985_011,a1981_013,a2001_019,a1984_006,a1967_021,a1966_002
a1985_012,a1977_009,a1995_009,a1994_002,a1977_014,a1980_014
a1985_013,a1985_005,a1985_001,a1985_006,a1984_007,a1967_010
a1985_014,a1993_002,a1989_012,a1991_002,a2002_006,a1967_007
a1985_016,a2001_034,a1964_054,a1983_001,a1983_007,a1985_017
a1985_017,a1965_021,a1964_031,a1963_009,a1959_021,a1980_005
a1985_018,a1995_009,a1990_001,a1991_003,a1977_009,a1980_016
a1985_019,a1998_001,a1998_011,a1975_003,a1990_007,a1998_003
a1985_020,a1985_022,a1980_015,a1990_006,a1964_013,a1966_010
a1985_021,a1964_015,a1980_004,a2000_005,a1996_010,a1981_020
a1985_022,a1980_004,a1990_006,a1980_015,a1990_003,a1984_011
a1985_023,a1995_009,a1993_003,a1977_009,a1967_003,a1985_012
a1985_024,a2003_017,a1980_016,a2002_006,a1967_002,a1993_002
a1985_025,a1988_007,a1989_002,a1989_010,a1989_006,a1989_004
a1985_026,a1991_002,a1991_005,a1991_003,a1990_010,a1989_010
a1985_028,a1965_003,a1965_010,a1965_006,a1964_054,a1983_006
a1987_001,a2001_021,a1984_009,a1977_014,a1965_002,a1980_014
a1987_002,a2001_027,a1981_010,a1992_006,a1981_015,a1981_013
a1987_005,a2001_019,a1967_011,a1980_013,a1990_003,a1980_009
a1987_006,a1994_010,a1992_001,a1980_012,a1998_006,a1988_017
a1988_001,a1997_001,a1999_031,a1991_006,a1994_018,a1996_012
a1988_002,a1984_006,a1984_001,a1989_021,a1999_033,a1984_002
a1988_003,a1989_003,a1989_010,a1989_004,a1985_008,a1967_007
a1988_004,a1989_012,a1993_002,a2002_006,a1991_002,a1985_014
a1988_005,a1989_008,a1981_013,a1987_005,a1985_007,a1985_011
a1988_007,a1989_004,a1985_008,a1985_025,a1989_003,a1989_010
a1988_008,a1989_021,a1996_009,a1994_008,a1997_006,a1999_033
a1988_009,a1967_002,a1991_007,a1967_011,a1982_004,a1985_005
a1988_010,a1991_003,a1985_024,a1967_002,a1967_001,a1980_016
a1988_011,a1989_021,a1988_008,a1999_033,a2001_011,a1994_008
a1988_012,a1990_005,a1989_011,a2001_019,a1980_009,a1987_005
a1988_013,a1989_012,a1988_004,a1991_005,a1967_007,a1991_002
a1988_014,a1989_011,a1990_005,a1989_012,a1967_009,a1993_002
a1988_015,a1989_004,a1991_005,a1985_014,a1985_003,a1967_007
a1988_016,a1967_011,a1985_005,a1989_008,a1967_010,a1985_006
a1988_017,a1980_009,a1981_012,a1999_027,a1980_008,a2001_019
a1988_018,a1977_008,a1977_003,a1974_002,a1985_012,a1985_003
a1988_019,a1989_003,a1988_020,a1988_004,a1985_026,a1991_005
a1988_020,a1989_003,a1989_012,a1991_002,a1985_014,a1988_014
a1988_021,a1985_024,a1993_002,a2003_017,a1988_009,a1990_005
a1988_022,a1988_014,a1988_017,a1967_009,a1985_005,a1989_008
a1989_001,a1988_004,a1988_014,a1989_003,a1991_002,a1989_004
a1989_002,a1985_025,a1988_007,a1989_010,a1988_003,a1989_006
a1989_003,a1988_020,a1991_005,a1967_007,a1989_010,a1989_012
a1989_004,a1989_012,a1967_007,a1991_005,a1988_007,a1985_014
a1989_005,a2001_019,a1980_009,a1967_021,a1990_003,a1984_014
a1989_006,a1985_025,a1991_005,a1989_002,a1989_004,a1988_007
a1989_007,a1989_012,a1989_008,a1988_014,a1967_009,a1967_010
a1989_008,a1985_004,a1982_005,a1967_009,a1981_003,a1980_009
a1989_009,a1959_031,a1989_004,a1988_007,a1988_014,a1989_012
a1989_010,a1991_005,a1985_026,a1989_003,a1991_002,a1989_004
a1989_011,a1980_009,a1991_007,a1990_005,a2001_019,a1985_005
a1989_012,a1988_004,a1967_010,a1988_014,a1989_011,a1993_002
a1989_013,a1981_019,a1981_018,a1982_001,a1974_005,a1981_006
a1989_014,a1989_016,a1981_006,a1981_005,a1981_013,a1981_021
a1989_015,a1998_014,a1988_001,a1985_007,a1998_016,a1981_008
a1989_016,a1989_014,a1985_019,a1988_002,a1984_006,a1981_006
a1989_017,a1980_001,a1999_026,a2000_010,a2001_020,a1982_003
a1989_018,a1995_001,a1984_014,a1989_005,a1983_008,a1980_008
a1989_019,a2001_011,a1988_011,a1995_005,a2001_013,a2001_019
a1989_020,a1980_007,a1992_002,a1980_002,a1980_011,a1999_043
a1989_021,a1994_008,a1996_009,a1988_008,a1999_033,a1981_004
a1989_022,a2001_007,a2003_016,a1996_022,a2003_012,a2001_003
a1989_023,a1961_011,a1962_013,a1960_011,a1962_002,a1961_032
a1990_001,a1985_024,a1991_002,a1980_016,a2002_006,a1990_010
a1990_002,a1990_003,a1966_010,a1964_013,a1980_015,a1980_013
a1990_003,a1980_015,a1966_010,a1964_013,a1981_022,a1980_004
a1990_004,a2001_030,a1999_038,a1980_011,a1989_020,a1999_043
a1990_005,a1989_011,a1990_010,a2001_019,a1985_024,a1980_009
a1990_006,a1998_001,a1995_014,a1980_017,a1985_022,a1996_005
a1990_007,a1975_003,a1958_006,a1974_008,a1998_004,a1980_017
a1990_008,a1980_011,a2001_032,a2001_030,a1999_043,a1981_009
a1990_009,a1980_017,a1984_005,a2001_012,a1994_003,a1996_005
a1990_010,a1985_024,a1990_005,a1991_003,a1991_002,a2002_006
a1990_011,a1994_010,a1994_011,a1980_013,a1994_015,a1990_003
a1990_012,a1997_023,a1994_017,a2000_001,a1991_001,a1981_008
a1990_013,a1988_020,a1991_005,a1974_002,a1985_026,a1977_010
a1991_001,a1997_017,a2000_001,a1980_003,a1992_002,a1981_004
a1991_002,a2002_006,a1991_003,a1985_024,a1993_002,a1991_005
a1991_003,a1991_002,a2002_006,a1985_024,a1990_010,a1993_002
a1991_004,a1999_011,a1994_014,a2000_009,a2001_025,a1997_017
a1991_005,a1991_002,a1967_007,a1985_026,a1991_003,a1960_001
a1991_006,a1996_012,a1999_031,a1999_023,a2001_020,a1997_016
a1991_007,a2001_019,a1989_011,a1980_009,a1967_011,a1987_005
a1992_001,a1994_010,a1980_012,a1996_002,a1981_004,a1996_012
a1992_002,a1991_001,a2001_031,a1980_007,a2000_001,a2000_007
a1992_003,a1992_004,a1964_003,a1991_001,a1982_002,a1980_001
a1992_004,a1964_003,a1992_003,a1999_030,a2002_007,a1959_003
a1992_005,a1992_007,a1980_004,a1990_003,a1994_017,a2000_002
a1992_006,a1992_001,a1994_010,a1987_006,a1991_006,a1980_012
a1992_007,a1998_007,a1980_004,a1996_004,a1981_020,a1999_036
a1993_001,a1994_019,a2000_005,a1990_003,a1980_004,a1997_016
a1993_002,a2002_006,a2003_017,a1967_002,a1985_024,a1984_013
a1993_003,a1980_016,a1985_024,a1990_002,a1984_013,a1995_009
a1994_001,a1962_011,a1964_005,a1960_017,a1947_001,a1960_022
a1994_002,a1977_014,a1980_014,a1985_012,a1995_011,a1995_015
a1994_003,a1998_012,a1980_017,a1995_010,a1998_001,a1984_010
a1994_004,a1995_018,a1997_002,a1995_017,a1996_005,a1985_022
a1994_005,a1980_004,a2001_008,a1985_021,a1964_015,a2000_005
a1994_006,a1998_009,a1980_017,a1995_010,a1998_010,a1995_017
a1994_007,a1995_013,a1994_012,a1998_012,a1994_003,a1996_008
a1994_008,a1996_009,a1989_021,a1999_033,a1997_017,a1981_004
a1994_009,a2001_018,a1997_001,a1996_004,a1980_006,a1997_003
a1994_010,a1992_001,a1980_012,a1996_002,a2000_005,a1981_004
a1994_011,a1990_011,a1985_022,a1990_009,a2001_012,a1980_015
a1994_012,a1995_013,a1994_007,a1998_012,a1994_003,a1998_002
a1994_013,a1996_009,a1999_033,a1994_008,a1981_020,a1989_021
a1994_014,a1999_011,a2000_009,a1991_004,a2001_025,a1997_017
a1994_015,a1995_012,a1994_010,a1990_011,a1995_008,a1966_010
a1994_016,a1998_005,a1996_016,a1999_028,a1981_020,a1981_004
a1994_017,a1990_012,a1999_029,a1997_023,a1981_004,a1997_017
a1994_018,a2001_018,a1997_001,a1996_012,a1999_036,a1997_015
a1994_019,a1993_001,a2000_005,a1990_003,a1980_004,a1980_015
a1995_001,a1989_018,a1980_008,a1989_005,a1984_014,a1990_003
a1995_002,a1998_012,a1984_005,a1980_017,a1994_003,a1996_003
a1995_003,a1994_008,a1995_007,a1996_009,a1989_021,a1997_007
a1995_004,a1995_010,a1998_012,a1995_006,a1994_007,a1984_005
a1995_005,a2001_013,a1985_020,a1990_002,a1994_006,a1966_010
a1995_006,a1980_017,a1995_010,a1990_007,a1958_006,a1998_011
a1995_007,a1997_017,a1994_008,a1992_004,a1981_004,a2000_001
a1995_008,a1990_006,a2001_010,a1995_012,a1995_014,a1966_010
a1995_009,a1980_016,a1964_012,a1993_003,a1985_024,a1977_009
a1995_010,a1980_017,a1995_017,a1998_012,a1990_007,a1958_006
a1995_011,a1980_005,a1995_015,a1980_014,a1983_005,a1995_016
a1995_012,a2001_010,a1995_008,a1994_015,a1995_014,a1996_004
a1995_013,a1998_012,a1994_007,a1994_003,a1994_012,a1998_002
a1995_014,a1990_006,a1998_001,a1994_003,a1995_008,a1984_010
a1995_015,a1980_005,a1995_011,a1995_016,a1980_014,a1984_005
a1995_016,a1995_017,a1994_003,a1998_012,a1980_005,a1995_015
a1995_017,a1998_013,a1980_017,a1990_007,a1998_011,a1998_010
a1995_018,a1996_005,a1996_003,a1980_017,a1998_001,a1998_003
a1995_019,a1996_010,a1964_015,a2000_005,a1980_004,a1985_021
a1996_001,a1980_003,a1980_002,a1991_001,a1997_017,a1996_002
a1996_002,a1981_004,a1981_020,a1996_009,a2001_018,a1996_010
a1996_003,a1980_017,a1998_001,a1990_007,a1996_005,a1958_006
a1996_004,a1997_001,a2001_018,a1997_005,a1994_018,a1957_007
a1996_005,a1996_003,a1995_018,a1980_017,a1998_001,a1984_011
a1996_006,a1964_003,a1997_008,a1980_001,a1998_018,a1997_023
a1996_007,a1985_021,a2002_008,a1980_004,a1996_014,a1998_007
a1996_008,a1994_007,a1980_015,a1985_022,a1994_019,a1990_003
a1996_009,a1999_033,a1994_008,a1989_021,a1999_036,a1981_020
a1996_010,a1995_019,a1981_020,a1996_009,a1996_002,a2000_005
a1996_011,a1999_038,a2001_030,a1999_039,a1990_004,a2001_024
a1996_012,a1997_015,a1997_001,a1991_006,a2001_018,a1997_016
a1996_013,a1984_011,a1980_004,a1998_007,a1994_005,a1998_001
a1996_014,a1999_025,a2000_005,a1985_021,a1980_004,a1964_015
a1996_015,a1982_002,a1964_003,a1980_001,a1999_043,a2001_032
a1996_016,a1999_036,a1981_020,a1998_005,a1999_028,a1981_004
a1996_017,a1996_002,a1981_020,a1996_010,a2000_005,a1999_032
a1996_021,a1999_042,a1996_023,a1964_054,a1983_001,a2002_013
a1996_022,a2001_007,a1965_010,a1996_021,a2003_012,a1965_006
a1996_023,a1996_021,a1999_042,a1965_004,a1983_003,a1965_003
a1997_001,a2001_018,a1996_012,a1994_018,a1997_005,a1996_004
a1997_002,a1980_004,a2000_005,a1990_003,a1992_007,a1985_022
a1997_003,a1997_001,a2001_018,a1996_012,a1997_005,a1994_018
a1997_004,a1999_030,a1999_040,a1999_026,a1964_003,a2002_020
a1997_005,a2001_018,a1997_001,a1999_029,a1999_036,a1996_004
a1997_006,a2000_001,a1988_008,a1994_008,a1996_009,a1981_004
a1997_007,a1999_040,a1996_002,a1999_026,a1997_004,a1996_012
a1997_008,a1964_003,a1996_006,a1998_018,a2001_032,a2002_007
a1997_009,a1999_014,a1963_002,a2002_005,a2002_003,a1959_028
a1997_015,a1996_012,a2001_018,a1994_018,a1999_031,a1980_006
a1997_016,a1996_012,a1981_004,a2001_018,a1997_015,a1991_006
a1997_017,a1981_004,a1991_001,a1996_012,a1997_015,a1997_016
a1997_018,a2001_032,a2002_007,a1964_003,a1959_003,a1982_002
a1997_019,a1999_034,a1996_009,a1996_016,a1996_002,a1999_036
a1997_020,a1999_013,a1999_012,a1997_019,a1981_020,a2002_008
a1997_021,a1997_022,a1980_004,a1996_004,a1957_007,a1992_007
a1997_022,a1997_021,a1999_036,a2001_018,a1996_004,a1980_004
a1997_023,a1990_012,a1994_017,a1996_015,a1997_017,a1991_001
a1998_001,a1998_003,a1975_003,a1990_007,a1974_008,a1980_017
a1998_002,a1998_012,a1995_013,a1995_017,a1995_010,a1998_013
a1998_003,a1998_001,a1975_003,a1998_011,a1974_008,a1990_007
a1998_004,a1990_007,a1998_015,a1975_003,a1998_011,a1958_006
a1998_005,a1996_016,a1999_028,a1981_020,a1999_036,a1994_016
a1998_006,a1987_006,a1981_007,a1980_021,a2001_031,a1980_012
a1998_007,a1958_001,a2002_008,a1992_007,a1980_004,a1964_015
a1998_008,a1991_006,a2000_010,a2001_020,a1999_023,a1999_026
a1998_009,a1964_002,a1998_010,a1995_017,a1967_017,a1990_007
a1998_010,a1995_017,a1998_009,a1980_017,a1990_007,a1958_006
a1998_011,a1975_003,a1990_007,a1998_003,a1958_006,a1998_001
a1998_012,a1998_002,a1995_017,a1994_003,a1995_010,a1984_010
a1998_013,a1995_017,a1998_009,a1998_010,a1998_012,a1980_005
a1998_014,a1957_017,a1984_002,a1958_001,a1992_007,a1998_007
a1998_015,a1998_004,a1990_007,a1998_001,a1975_003,a1998_011
a1998_016,a2000_001,a1967_008,a1981_008,a1981_012,a1981_004
a1998_018,a2001_032,a2001_030,a1964_003,a2000_006,a2002_007
a1999_002,a1975_007,a2002_013,a1999_04,a1999_003,a2001_034
a1999_003,a1999_04,a2002_013,a1999_002,a1975_007,a2001_034
a1999_005,a1999_002,a1975_007,a1999_04,a2002_013,a2000_013
a1999_006,a1980_005,a1995_015,a1999_007,a1995_011,a1967_017
a1999_007,a1980_005,a1995_011,a1977_005,a1999_006,a1998_009
a1999_008,a1999_042,a1996_021,a1999_002,a2001_007,a1996_022
a1999_009,a1965_010,a1965_006,a1996_022,a1999_04,a2003_012
a1999_01,a1995_016,a1998_012,a1984_010,a1998_004,a1994_003
a1999_010,a1964_031,a1999_007,a1980_005,a1977_005,a1985_017
a1999_011,a1994_014,a1991_004,a2000_009,a1999_026,a1964_003
a1999_012,a1997_020,a1999_013,a1997_019,a1999_034,a1998_007
a1999_013,a1997_020,a1999_012,a1998_007,a1958_001,a2002_008
a1999_014,a1999_038,a1999_039,a2001_030,a1996_011,a1967_004
a1999_022,a1999_036,a1994_018,a2001_018,a1996_016,a1997_001
a1999_023,a2001_020,a1991_006,a2003_011,a2000_010,a1982_003
a1999_024,a1999_027,a2000_007,a1966_002,a1981_012,a2000_004
a1999_025,a1996_014,a2000_005,a1996_009,a1981_020,a1996_010
a1999_026,a1999_030,a1959_003,a1964_003,a1996_012,a1997_004
a1999_027,a1999_024,a2000_007,a1981_004,a1981_012,a1991_001
a1999_028,a1996_016,a1998_005,a2001_008,a1997_016,a1999_040
a1999_029,a1999_036,a1994_017,a2001_018,a1997_005,a1996_016
a1999_030,a1964_003,a2002_007,a1997_004,a2000_006,a2001_032
a1999_031,a1996_012,a1991_006,a1997_015,a1997_001,a2001_018
a1999_032,a2000_005,a1996_009,a1996_010,a1981_004,a1999_036
a1999_033,a1996_009,a1994_008,a1996_016,a1999_034,a1989_021
a1999_034,a1996_016,a1999_036,a2001_018,a1997_019,a1999_033
a1999_035,a1996_016,a2001_018,a1999_036,a1981_020,a1994_018
a1999_036,a1996_016,a2001_018,a1981_020,a1994_018,a1999_029
a1999_037,a1965_004,a2001_034,a1962_014,a1983_003,a1983_007
a1999_038,a2001_030,a1998_018,a2001_032,a1980_011,a1990_004
a1999_039,a1999_038,a1996_011,a2001_030,a2001_032,a1990_008
a1999_04,a2002_013,a1975_007,a1999_002,a2001_034,a1964_054
a1999_040,a1996_016,a1997_007,a1997_004,a2000_003,a1999_026
a1999_041,a1982_002,a2002_020,a2001_031,a1999_043,a1999_030
a1999_042,a1996_021,a1996_023,a1964_054,a2002_013,a1983_003
a1999_043,a1980_001,a2001_031,a1982_002,a2001_032,a1981_009
a1999_045,a1999_046,a2003_012,a1960_015,a1962_010,a2001_003
a1999_046,a2003_012,a1999_045,a1962_010,a2001_003,a2004_006
a2000_001,a1981_011,a2001_031,a1966_005,a1991_001,a1967_008
a2000_002,a1992_005,a1984_002,a1980_004,a1997_021,a1994_017
a2000_003,a1996_016,a1999_040,a1997_016,a1997_004,a1997_007
a2000_004,a2000_007,a1992_002,a2001_031,a2000_001,a1991_001
a2000_005,a1981_004,a1980_004,a1996_009,a1985_021,a1981_020
a2000_006,a1964_003,a2001_032,a2002_007,a1998_018,a1999_030
a2000_007,a1999_024,a1999_027,a1992_002,a2000_004,a1991_001
a2000_008,a1966_010,a1997_002,a1980_004,a1996_004,a2000_005
a2000_009,a1994_014,a1999_011,a1991_004,a2001_025,a1997_017
a2000_010,a2001_020,a1999_023,a1996_012,a1991_006,a1989_017
a2000_011,a2001_026,a1980_017,a1990_007,a1975_003,a1998_001
a2000_012,a1999_002,a2001_034,a1964_054,a1999_04,a1985_016
a2000_013,a1975_007,a1999_002,a2001_006,a1966_003,a2002_013
a2001_001,a1975_007,a2002_013,a2001_034,a1999_04,a2001_004
a2001_002,a1960_011,a1961_011,a1962_013,a1961_032,a1989_023
a2001_003,a1965_009,a1999_04,a1960_103,a1975_007,a2002_013
a2001_004,a2001_001,a1962_014,a1999_037,a2001_034,a1965_021
a2001_005,a2001_007,a2003_012,a2003_016,a1996_022,a1999_045
a2001_006,a1975_007,a2002_013,a1966_003,a1999_04,a2000_013
a2001_007,a1996_022,a2003_016,a1965_010,a1965_006,a1999_04
a2001_008,a1996_016,a1999_028,a1998_005,a1994_005,a1981_020
a2001_009,a1966_008,a1974_009,a1964_053,a1975_012,a1964_014
a2001_010,a1995_008,a1995_012,a1995_014,a1990_006,a1994_015
a2001_011,a1990_003,a2001_019,a1988_008,a1964_013,a1967_021
a2001_012,a1990_009,a1980_017,a1994_003,a1966_010,a1998_001
a2001_013,a1990_003,a1966_010,a1990_002,a1964_013,a2001_011
a2001_014,a1967_017,a1998_009,a1995_010,a2003_008,a1964_031
a2001_015,a1964_006,a2003_006,a1977_013,a1964_001,a1966_007
a2001_016,a1990_002,a1985_022,a1990_003,a1980_004,a1966_010
a2001_017,a1994_017,a1999_034,a1999_029,a1981_004,a1996_016
a2001_018,a1999_036,a1997_001,a1996_012,a1994_018,a1981_004
a2001_019,a1980_009,a1967_021,a1980_008,a1981_002,a1981_022
a2001_020,a1999_023,a2003_011,a1991_006,a2000_010,a1982_003
a2001_021,a1980_005,a1998_013,a1977_005,a1998_009,a1984_009
a2001_022,a1980_009,a1967_011,a1993_002,a1989_011,a1990_005
a2001_023,a1998_003,a1958_001,a1998_001,a1995_018,a1974_008
a2001_024,a1998_018,a2001_030,a1999_038,a1982_003,a2001_032
a2001_025,a1996_012,a1981_004,a1999_036,a2001_018,a1996_002
a2001_026,a2000_011,a1998_010,a1998_004,a1990_007,a1964_002
a2001_027,a1987_006,a1988_017,a1981_010,a1982_005,a1981_003
a2001_030,a2001_032,a1999_038,a1998_018,a1980_011,a1999_043
a2001_031,a1999_043,a1966_005,a2000_001,a1980_001,a1982_002
a2001_032,a2001_030,a1998_018,a1964_003,a1999_043,a2000_006
a2001_033,a1996_011,a1999_039,a1967_004,a1999_038,a1990_004
a2001_034,a1964_054,a2002_013,a1985_016,a1983_001,a1965_021
a2001_035,a1999_01,a1984_010,a1967_006,a1975_008,a1975_006
a2002_001,a1963_009,a1977_012,a1977_011,a1975_007,a1964_031
a2002_002,a1974_009,a1966_008,a1975_010,a1975_012,a1975_005
a2002_003,a1959_003,a1975_009,a1965_027,a1958_005,a1975_001
a2002_004,a1977_012,a1964_001,a1975_002,a1963_009,a1977_013
a2002_005,a1964_053,a1966_008,a1963_002,a2002_009,a1964_014
a2002_006,a1993_002,a1985_024,a2003_017,a1967_002,a1980_016
a2002_007,a1964_003,a1999_030,a2001_032,a2000_006,a1998_018
a2002_008,a1998_007,a1992_007,a1996_002,a1981_020,a1980_004
a2002_009,a1966_008,a1965_027,a1975_005,a1967_005,a1975_011
a2002_010,a1995_013,a1994_007,a1994_012,a1994_003,a1980_014
a2002_011,a1998_001,a1984_011,a1994_003,a1965_001,a1980_017
a2002_012,a1999_032,a1966_009,a2000_005,a1966_010,a1996_014
a2002_013,a1975_007,a2001_034,a1999_04,a1999_002,a1964_054
a2002_014,a1974_004,a1974_008,a1967_017,a2002_016,a1990_007
a2002_015,a2000_005,a2001_008,a1981_004,a1981_022,a1996_010
a2002_016,a1965_001,a1958_001,a1974_008,a1998_001,a1964_015
a2002_017,a1984_002,a1959_002,a1984_001,a1992_005,a1998_014
a2002_018,a1967_005,a1975_011,a1957_003,a1992_007,a1959_010
a2002_019,a1999_022,a1958_001,a1966_034,a1998_007,a1999_013
a2002_020,a1997_004,a1982_002,a1999_030,a1964_003,a1992_004
a2002_021,a2001_003,a1975_007,a1965_009,a2001_007,a2002_013
a2002_022,a1957_004,a2002_009,a2002_018,a1957_003,a1981_020
a2002_024,a1961_032,a1962_010,a1999_046,a1960_015,a2004_006
a2002_025,a1984_003,a1977_001,a1990_001,a1967_003,a1985_023
a2002_026,a1962_010,a1961_032,a2003_012,a2003_016,a1962_004
a2003_001,a1963_005,a1961_033,a1966_006,a1961_002,a1960_058
a2003_002,a1975_007,a1999_04,a1985_016,a1999_002,a1983_001
a2003_003,a1967_017,a2001_021,a1998_009,a1975_013,a1998_010
a2003_004,a1965_009,a1975_007,a1999_04,a2002_013,a2001_001
a2003_005,a1959_039,a1965_011,a1964_004,a1964_001,a1964_006
a2003_006,a2001_015,a1964_006,a1977_013,a1965_005,a1974_003
a2003_007,a1998_012,a1994_007,a1995_013,a1995_010,a1998_011
a2003_008,a1964_031,a1967_017,a1963_009,a1980_005,a1998_009
a2003_009,a1975_012,a1967_006,a2001_009,a1975_011,a1966_008
a2003_010,a2000_005,a1981_004,a1997_016,a1981_020,a1980_004
a2003_011,a2001_020,a1999_023,a1991_006,a1997_015,a2000_010
a2003_012,a1999_046,a1962_010,a1999_045,a1996_022,a2002_026
a2003_013,a1962_010,a1961_032,a2002_026,a2001_005,a1960_015
a2003_016,a2001_007,a1996_022,a2003_012,a2002_026,a1962_010
a2003_017,a1967_002,a1985_024,a1993_002,a2002_006,a1984_013
a2004_001,a1964_031,a1963_009,a2003_008,a1967_017,a1958_010
a2004_002,a1999_01,a1995_011,a1980_014,a1980_005,a1995_016
a2004_003,a1999_005,a1989_022,a1975_007,a2001_003,a1965_009
a2004_005,a1995_010,a1994_003,a1980_017,a1995_017,a1995_006
a2004_006,a2003_012,a1999_046,a2002_026,a1962_010,a1999_045
